City Name,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
East London,40,ZA,1563558024,58,-33.02,27.91,57.2,21.92
Ucluelet,20,CA,1563558025,82,48.94,-125.55,61.0,4.7
Wamba,30,CD,1563558025,83,2.14,27.99,71.59,1.63
Verkhnyaya Inta,89,RU,1563558026,92,65.99,60.32,56.47,4.97
Bara,100,NG,1563558026,86,10.41,10.6,73.39,8.66
Grindavik,40,IS,1563558026,76,63.84,-22.43,60.8,19.46
Ilo,90,PE,1563558027,72,-17.65,-71.34,62.6,8.05
Xining,15,CN,1563558027,77,36.62,101.77,48.73,4.94
Kruisfontein,100,ZA,1563558028,70,-34.0,24.73,49.45,28.63
Albany,40,US,1563557980,66,42.65,-73.75,90.0,6.93
Busselton,49,AU,1563558029,98,-33.64,115.35,46.0,29.08
Goundam,0,ML,1563558029,21,16.42,-3.66,103.99,8.72
Rikitea,96,PF,1563558030,60,-23.12,-134.97,66.19,13.73
Ushuaia,40,AR,1563557932,64,-54.81,-68.31,41.0,9.17
Esperance,90,AU,1563558030,76,-33.86,121.89,55.4,24.16
Erdaojiang,56,CN,1563558031,90,41.78,126.03,64.93,3.36
Kapaa,90,US,1563558031,88,22.08,-159.32,78.8,14.99
Cairns,0,AU,1563558032,82,-16.92,145.77,55.4,8.05
Nikolskoye,90,RU,1563558032,88,59.7,30.79,62.6,8.95
Bluff,0,AU,1563558033,59,-23.58,149.07,50.35,7.92
Klaksvik,75,FO,1563558033,100,62.23,-6.59,51.8,6.93
Luderitz,0,NA,1563558034,83,-26.65,15.16,58.45,31.05
Rome,0,IT,1563557750,51,41.89,12.48,86.0,5.82
Karaton,40,ID,1563558034,74,-6.34,106.1,80.6,3.36
Airai,1,TL,1563558035,78,-8.93,125.41,67.45,4.92
Coquimbo,0,CL,1563558035,59,-29.95,-71.34,62.6,9.17
Canutama,17,BR,1563558036,32,-6.53,-64.38,96.61,3.6
Jamestown,0,AU,1563558037,46,-33.21,138.6,50.17,13.33
Hermanus,56,ZA,1563558037,97,-34.42,19.24,52.0,1.99
Pevek,100,RU,1563558037,98,69.7,170.27,32.17,8.1
Waipawa,100,NZ,1563558038,94,-39.94,176.59,46.99,2.17
Luanda,0,AO,1563558038,83,-8.83,13.24,73.4,5.82
Bredasdorp,62,ZA,1563558039,81,-34.53,20.04,50.0,11.41
Nanortalik,21,GL,1563558039,88,60.14,-45.24,44.41,4.99
Vaini,98,IN,1563558040,89,15.34,74.49,78.25,4.12
Tasiilaq,20,GL,1563558040,70,65.61,-37.64,48.2,10.29
Hithadhoo,93,MV,1563558041,77,-0.6,73.08,83.11,16.44
Bemidji,1,US,1563558042,69,47.48,-94.89,73.99,6.93
Cabo San Lucas,20,MX,1563557772,58,22.89,-109.91,93.99,12.75
Georgetown,75,GY,1563557940,70,6.8,-58.16,86.0,9.17
Tarbagatay,20,RU,1563558043,68,51.48,107.36,71.6,2.24
Bandarbeyla,52,SO,1563558044,56,9.49,50.81,80.59,24.65
Cap Malheureux,75,MU,1563558044,83,-19.98,57.61,71.6,16.11
Atuona,41,PF,1563558044,76,-9.8,-139.03,79.51,14.29
Denpasar,32,ID,1563558045,91,-8.65,115.22,71.23,6.38
Hobart,20,AU,1563558045,86,-42.88,147.33,44.01,8.05
Mataura,100,NZ,1563558046,97,-46.19,168.86,45.0,1.99
Labuhan,63,ID,1563558046,85,-2.54,115.51,72.31,1.36
Avera,1,US,1563558047,56,33.19,-82.53,95.0,5.82
Oussouye,40,SN,1563558047,74,12.49,-16.54,87.8,6.93
Nome,1,US,1563558047,66,30.04,-94.42,93.99,8.05
Puerto Ayora,75,EC,1563558048,69,-0.74,-90.35,75.2,16.11
Cape Town,40,ZA,1563557922,71,-33.93,18.42,55.0,9.17
Nhulunbuy,7,AU,1563558049,94,-12.18,136.78,68.0,4.7
Lebu,92,ET,1563558050,88,8.96,38.73,58.63,2.77
New Norfolk,20,AU,1563558050,86,-42.78,147.06,44.01,8.05
Dalby,0,AU,1563558050,63,-27.18,151.26,34.0,1.12
Lubango,0,AO,1563558051,19,-14.92,13.49,69.8,4.7
Ribeira Brava,40,PT,1563558051,61,32.65,-17.07,77.0,12.75
Ancud,40,CL,1563558052,66,-41.87,-73.83,48.2,10.29
Mmabatho,0,ZA,1563558052,15,-25.85,25.61,59.0,5.82
Port Alfred,72,ZA,1563558053,77,-33.59,26.89,55.99,11.01
Tuktoyaktuk,90,CA,1563558053,87,69.44,-133.03,55.4,12.75
Severo-Kurilsk,77,RU,1563558054,94,50.68,156.12,48.37,7.09
Price,1,US,1563557897,13,39.6,-110.81,86.0,5.82
Qaanaaq,100,GL,1563558054,78,77.48,-69.36,40.45,7.96
Piney Green,1,US,1563558055,66,35.09,-78.48,93.99,4.7
Praia,40,BR,1563558055,46,-20.25,-43.81,69.8,12.75
Punta Arenas,0,CL,1563558056,76,-53.16,-70.91,39.2,17.22
Upernavik,98,GL,1563558056,91,72.79,-56.15,44.23,13.58
Khatanga,87,RU,1563558057,51,71.98,102.47,57.55,7.9
Hilo,90,US,1563558057,88,19.71,-155.08,79.0,5.82
Port Hueneme,90,US,1563558058,72,34.15,-119.2,75.99,4.7
Saint George,20,GR,1563558058,47,39.45,22.34,82.4,3.36
Paciran,87,ID,1563558059,77,-6.9,112.33,74.83,6.44
Beringovskiy,100,RU,1563558059,78,63.05,179.32,56.83,7.87
Byron Bay,40,AU,1563557941,93,-28.65,153.62,48.99,3.69
Sitka,0,US,1563558060,37,37.17,-99.65,98.01,13.0
Sagua la Grande,75,CU,1563558061,49,22.81,-80.07,89.6,6.93
Muli,95,CN,1563558061,94,28.08,109.56,73.39,4.76
Kathmandu,75,NP,1563557998,88,27.71,85.32,73.4,3.36
Ixtapa,40,MX,1563558062,62,20.71,-105.21,88.0,4.32
Butaritari,100,KI,1563558063,66,3.07,172.79,84.55,8.25
Ribeira Grande,40,PT,1563558064,83,38.52,-28.7,77.0,11.41
Ahome,75,MX,1563558064,59,25.92,-109.18,93.99,14.99
Thompson,40,CA,1563558054,77,55.74,-97.86,60.8,8.05
Sao Joao da Barra,75,BR,1563558065,78,-21.64,-41.05,75.2,9.17
Pemberton,74,AU,1563558066,98,-34.44,116.03,46.0,4.34
Isangel,92,VU,1563558066,74,-19.55,169.27,71.41,17.31
Lumajang,42,ID,1563558067,93,-8.14,113.22,59.35,2.24
Verkhniye Kigi,65,RU,1563558067,85,55.41,58.6,66.91,3.96
Podor,0,MR,1563558068,29,16.65,-14.96,100.4,2.24
Bubaque,80,GW,1563558068,81,11.28,-15.83,78.97,19.35
Kununurra,28,AU,1563558069,72,-15.77,128.74,59.0,2.24
Vila Franca do Campo,40,PT,1563558069,88,37.72,-25.43,73.4,13.87
Tiksi,92,RU,1563558070,81,71.64,128.87,39.19,4.85
Victoria,75,BN,1563557814,88,5.28,115.24,82.4,1.12
Caravelas,18,BR,1563558071,69,-17.73,-39.27,73.03,15.37
Wuda,59,CN,1563558071,43,39.5,106.72,75.37,5.79
Castro,40,CL,1563558072,66,-42.48,-73.76,48.2,10.29
Alofi,40,NU,1563558072,94,-19.06,-169.92,73.4,6.93
Pangnirtung,90,CA,1563558072,93,66.15,-65.72,50.0,2.24
Kamenka,23,MD,1563558073,65,48.03,28.7,67.27,2.48
Timbuktu,7,ML,1563558073,19,16.77,-3.01,105.25,5.53
Pandan,92,PH,1563558074,78,11.72,122.09,83.11,10.31
Naze,99,NG,1563558074,96,5.43,7.07,72.67,5.39
Saint-Philippe,75,CA,1563558074,66,45.36,-73.48,90.0,18.34
Ipixuna,75,BR,1563558075,55,-1.76,-48.8,87.8,11.41
Muros,20,ES,1563558076,53,42.77,-9.06,82.0,11.41
Port Elizabeth,40,US,1563558076,70,39.31,-74.98,95.0,4.7
Faya,40,SA,1563558077,13,18.39,42.45,82.4,11.41
Saint-Joseph,0,FR,1563558077,69,43.56,6.97,84.2,5.82
Olden,40,NO,1563558077,68,61.84,6.81,68.0,11.41
Sterling,1,US,1563558078,59,39.0,-77.4,97.0,5.82
